テストデータ・ジェネレータから頂きました。,,,,,,,,,,,
https://yamagata.int21h.jp/tool/testdata/,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1,森本 好利,モリモト ヨシトシ,男,O,1977/1/27,076-406-8387,090-3078-7308?,yositosi1977@example.or.jp ?,920-1162,石川県金沢市鈴見町4651,イシカワケンカナザワシスズミマチ
2,大塚 鉄次,オオツカ テツジ,男,A,1978/1/6,0569-31-6750,090-0852-3599?,ztt0106@infoseek.co.jp ?,475-0841,愛知県半田市大和町6-7-4,アイチケンハンダシヤマトチョウ
3,神谷 とみ子,カミタニ トミコ,女,A,1980/8/14,054-829-2493,090-9807-2125?,kmtn0814@combzmail.jp ?,421-2108,静岡県静岡市葵区下4-5-9,シズオカケンシズオカシアオイクシモ
4,岸 運吉,キシ ウンキチ,男,B,1994/6/11,0942-03-4754,090-4262-1638?,kisi4754@ocn.ne.jp ?,841-0062,佐賀県鳥栖市幸津町8-5-7,サガケントスシサイツマチ
5,齋藤 真里,サイトウ マリ,女,A,1990/1/7,0538-76-2215,070-4937-1028?,mari4370201@t-com.ne.jp ?,437-0201,静岡県周智郡森町嵯塚1-10-1,シズオカケンシュウチグンモリマチサヅカ
6,早川 記代,ハヤカワ キヨ,女,AB,1975/8/2,0832-96-4780,090-1748-5652?,kiyo-hayakawa@mesh.ne.jp ?,751-0845,山口県下関市新垢田北町6-15-4-15F,ヤマグチケンシモノセキシシンアカダキタマチ
7,古田 泰美,コダ ヤスミ,女,B,1988/3/16,0956-84-3775,090-8008-8697?,yasumikoda@hotmail.co.jp ?,859-4504,長崎県松浦市志佐町栢木免9-6-3,ナガサキケンマツウラシシサチョウカヤノキメン
8,大城 凱次,オオキ カツジ,男,A,1971/7/15,0959-13-3914,090-8842-0291?,izutak0715@example.ad.jp ?,853-2172,長崎県五島市蕨町2-11-7,ナガサキケンゴトウシワラビチョウ
9,浅野 寿美,アサノ ヒサミ,女,O,1970/10/15,0956-31-8688,070-5016-8333?,asn1015@plala.or.jp ?,857-0336,長崎県北松浦郡佐々町神田免2-9-9,ナガサキケンキタマツウラグンサザチョウコウダメン
10,小谷 智勝,コタニ トモカツ,男,O,1990/9/10,0721-37-7981,090-1629-3654?,ntk586@gmail.com ?,586-0046,大阪府河内長野市中片添町6-10-6,オオサカフカワチナガノシナカカタソエチョウ
11,斎藤 雄一郎,サイトウ ユウイチロウ,男,O,1994/6/9,0761-38-7697,090-5315-7911?,utis94@fdt.ne.jp ?,923-0954,石川県小松市八幡町7-9-9,イシカワケンコマツシヤワタマチ
12,杉原 千恵,スギハラ チエ,女,O,1989/4/2,0746-44-7403,,sugihara_tie@cuib.or.jp ?,637-1102,奈良県吉野郡十津川村旭5-12-3-501号室,ナラケンヨシノグントツカワムラアサヒ
13,竹中 安彦,タケナカ ヤスヒコ,男,A,1990/11/21,0279-88-3239,090-7941-9942?,yasuhiko1990@comeon.to ?,370-3607,群馬県北群馬郡吉岡町小倉2-3-6-15F,グンマケンキタグンマグンヨシオカマチオグラ
14,福島 嘉邦,フクシマ ヨシクニ,男,B,1971/11/3,075-012-1987,090-5614-8188?,inukisoy71@dion.ne.jp ?,600-8816,京都府京都市下京区西新屋敷中堂寺町3-4-2-7F,キョウトフキョウトシシモギョウクニシシンヤシキチュウドウジチョウ
15,島崎 敬志,シマサキ ケイジ,男,AB,1970/4/30,0790-13-4088,090-3769-1521?,keizi_simasaki@tokyo24.com ?,675-2332,兵庫県加西市鎮岩町8-9-3,ヒョウゴケンカサイシトコナベチョウ
16,笠井 芳弘,カサイ ヨシヒロ,男,A,1994/7/21,03-3265-0904,,yosihiro-kasai@iij.ad.jp ?,125-0051,東京都葛飾区新宿8-1-8-5階,トウキョウトカツシカクニイジュク
17,高橋 真由美,タカハシ マユミ,女,O,1972/7/25,03-3550-6097,090-8970-4310?,,146-0085,東京都大田区久が原6-1-4,トウキョウトオオタククガハラ
18,大場 貫之,オオバ カンジ,男,O,1991/8/23,0426-77-0322,090-5467-9409?,ooba192@ybb.ne.jp ?,192-0083,東京都八王子市旭町1-2-9,トウキョウトハチオウジシアサヒチョウ
19,飯島 喜代信,イイジマ キヨノブ,男,A,1987/5/9,011-226-4360,070-8617-8766?,kynb@sunfield.ne.jp ?,061-1279,北海道北広島市大曲並木6-8-8,ホッカイドウキタヒロシマシオオマガリナミキ
20,柴田 梨枝子,シバタ リエコ,女,A,1976/10/26,0195-80-6907,090-3652-6326?,okeir76okeir76@sannet.ne.jp ?,028-4307,岩手県岩手郡岩手町五日市1583,イワテケンイワテグンイワテマチイツカイチ
